Health Center Name,Operated By,Street Address,City,State,ZIP Code,Telephone Number
Mercy office at FSSD Liberty Elementary School,"COMMUNITY HEALTH CENTERS OF WESTERN KENTUCKY, INC",226 Hopkinsville St,Greenville,KY,42345,270-377-3077
Mercy office at FSSD Franklin Elementary School,"MERCY HEALTH SERVICES, INC.",600 Liberty Pike,Franklin,TN,37064-2923,615-790-0892
Priest Lake Family and Women's Health Center,"MERCY HEALTH SERVICES, INC.",1501 Figuers Dr,Franklin,TN,37064-3830,615-794-1187
"Mercy Health Services, Inc","UNIVERSITY COMMUNITY HEALTH SERVICES, INC.",2637 Murfreesboro Pike,Nashville,TN,37217-3505,615-292-9770
Neighborhood Health at Salvus-Gallatin,"MERCY HEALTH SERVICES, INC.",143 SE Parkway Ct,Franklin,TN,37064-3968,615-790-0567
HOPE Family Health - Gallatin SRMC,"UNITED NEIGHBORHOOD HEALTH SERVICES, INC.","556 Hartsville Pike, Ste 200",Gallatin,TN,37066-2493,615-227-3000
Mercy office at FSSD Moore Elementary School,HOPE FAMILY HEALTH SERVICES,"300 Steam Plant Rd, Ste 210",Gallatin,TN,37066-3060,615-644-2000
"Regional Health Care Affiliates, Inc dba. Health First Community Health Center- Princeton","MERCY HEALTH SERVICES, INC.",1061 Lewisburg Pike,Franklin,TN,37064-6727,615-790-4700
Rockfield Elementary Healthy Kids Clinic,"REGIONAL HEALTH CARE AFFILIATES, INC.",1100 S Jefferson St,Princeton,KY,42445-2379,270-365-9455
South Warren High Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",7597 Russellville Rd,Bowling Green,KY,42101-7328,270-781-2385
South Warren Middle Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",8240 Nashville Rd,Bowling Green,KY,42101,270-467-7500
Rich Pond Elementary Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",295 Richpond Rd,Bowling Green,KY,42104-8719,270-467-7510
"Community Medical Clinic, Princeton","CUMBERLAND FAMILY MEDICAL CENTER, INC.",530 Richpond Rd,Bowling Green,KY,42104-8716,270-781-9627
"Regional Health Care Affiliates, Inc. dba. Health First Community Health Center - Earlington","PENNYROYAL HEALTHCARE SERVICES, INC",1022 W Main St,Princeton,KY,42445-1220,270-365-0227
Jody Richards Elementary Healthy Kids Clinic,"REGIONAL HEALTH CARE AFFILIATES, INC.",107 E Main St,Earlington,KY,42410-1333,270-905-4084
KentuckyCare - 128,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",2100 Elrod Rd,Bowling Green,KY,42104-8553,270-904-1901
Jennings Creek Elementary Healthy Kids Clinic,ARCARE,312 S 8th St,Murray,KY,42071-2428,270-753-2395
Lost River Elementary Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",2617 Russellville Rd,Bowling Green,KY,42101-3926,270-904-9200
Henry F. Moss Middle Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",450 Modern Way,Bowling Green,KY,42101-4074,270-746-0334
Plano Elementary Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",2565 Russellville Rd,Bowling Green,KY,42101-3957,270-843-0166
Matthew Walker Comprhensive Health Center - Smyrna,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",2650 Plano Rd,Bowling Green,KY,42104-0374,270-467-0411
William H. Natcher Elementary Healthy Kids Clinic,"MATTHEW WALKER COMPREHENSIVE HEALTH CENTER, INC.",739 President Pl STE 100,Smyrna,TN,37167-6845,615-984-4290
Early Learning Academy Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1434 Cave Mill Rd,Bowling Green,KY,42104-4301,270-842-1364
Geo International High Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1846 Loop Dr,Bowling Green,KY,42101-3602,270-781-2385
Warren Central High Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1808 Loop Dr,Bowling Green,KY,42101,270-904-3691
Drakes Creek Middle Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",559 Morgantown Rd,Bowling Green,KY,42101-3603,270-842-7302
Greenwood High Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",704 Cypress Wood Way,Bowling Green,KY,42104-0300,270-843-0165
Lighthouse and Jackson Academies Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",5065 Scottsville Rd,Bowling Green,KY,42104-7897,270-842-3627
Alvaton Elementary Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",877 Jackson St,Bowling Green,KY,42101-5195,270-782-5410
Primary Care & Hope Clinic of Smyrna,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",6350 Old Scottsville Rd,Alvaton,KY,42122-9767,270-843-8067
Cumberland Trace Elementary Healthy Kids Clinic,RUTHERFORD COUNTY PRIMARY CARE CLINIC INC,900 Sgt. Asbury Hawn Way,Smyrna,TN,37167-3587,615-625-9390
FAIRVIEW COMMUNITY HEALTH CENTER,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",2461 Cumberland Trace Rd,Bowling Green,KY,42103,270-781-1356
Briarwood Elementary Healthy Kids Clinic,"BOWLING GREEN-WARREN COUNTY PRIMARY CARE CENTER, INC.",225 Natchez Trace Ave,Bowling Green,KY,42103-7995,270-783-3573
HOPE Family Health - Westmoreland,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",265 Lovers Ln,Bowling Green,KY,42103-7976,270-782-5554
United Neighborhood Health Services at Lebanon,HOPE FAMILY HEALTH SERVICES,1124 NEW HIGHWAY 52 E,WESTMORELAND,TN,37186-5060,615-644-2000
Richardsville Elementary Healthy Kids Clinic,"UNITED NEIGHBORHOOD HEALTH SERVICES, INC.",410 HARTSVILLE PIKE,LEBANON,TN,37087-2904,615-227-3000
HOPE Family Health - Westside,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1775 Richardsville Rd,Bowling Green,KY,42101-0429,270-777-3232
PrimeCare,HOPE FAMILY HEALTH SERVICES,10427 HIGHWAY 52 W,WESTMORELAND,TN,37186-3234,615-644-2000
Bristow Elementary Healthy Kids Clinic,MAURY REGIONAL HOSPITAL,854 W James M Campbell Blvd Ste 301,Columbia,TN,38401-4659,931-540-4140
Warren East High Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",6151 Louisville Rd,Bowling Green,KY,42101-8409,270-842-1960
Warren East Middle Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",6867 Louisville Rd,Bowling Green,KY,42101-8015,270-781-1277
"Regional Health Care Affiliates, Inc. dba. Health First Community Health Center - Providence","CUMBERLAND FAMILY MEDICAL CENTER, INC.",7031 Louisville Rd,Bowling Green,KY,42104-8417,270-843-0181
Primary Care & Hope Clinic,"REGIONAL HEALTH CARE AFFILIATES, INC.",215 East Main Street,Providence,KY,42450-1261,270-667-7017
Lewis Health Center,RUTHERFORD COUNTY PRIMARY CARE CLINIC INC,1453 Hope Way,Murfreesboro,TN,37129-3140,615-893-9390
"PERRY COUNTY MEDICAL CENTER, INC.",MAURY REGIONAL HOSPITAL,617 W Main St,Hohenwald,TN,38462-1355,931-796-4901
Oakland Elementary Healthy Kids Clinic,"PERRY COUNTY MEDICAL CENTER, INC.",115 E Brooklyn St,Linden,TN,37096,931-589-2104
Hope II,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",2494 Church St,Oakland,KY,42159-6809,270-563-4719
Mercy office at Marshall Co Forrest Middle/High School,RUTHERFORD COUNTY PRIMARY CARE CLINIC INC,608 S Hancock St,Murfreesboro,TN,37130-4327,615-893-9390
KentuckyCare - 151,"MERCY HEALTH SERVICES, INC.",310 N Horton Pkwy,Chapel Hill,TN,37034-3302,931-246-4733
"Regional Health Care Affiliates, Inc. dba. Health First Community Health Center - Calhoun",ARCARE,850 Cutoff Rd,Smithland,KY,42081-8914,870-347-2534
Mercy office at Marshall Co Delk Henson Intermediate,"REGIONAL HEALTH CARE AFFILIATES, INC.",295 Main St,Calhoun,KY,42327-2104,270-273-9310
Mercy office at Marshall Co Chapel Hill Elementary,"MERCY HEALTH SERVICES, INC.",425 S Horton Pkwy,Chapel Hill,TN,37034-3148,931-536-0491
"Regional Health Care Affiliates, Inc. dba. Health First Community Health Center- Clay","MERCY HEALTH SERVICES, INC.",4795 Nashville Hwy,Chapel Hill,TN,37034,931-246-4255
North Warren Elementary Healthy Kids Clinic,"REGIONAL HEALTH CARE AFFILIATES, INC.",140 Veterans Memorial Ave,Clay,KY,42404,270-664-2526
South Edmonson Elementary,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",420 College St,Smiths Grove,KY,42171-8238,270-563-2041
MACON COUNTY HEALTH DEPARTMENT,"A+ FAMILY HEALTHCARE, LLC",1058 Chalybeate School Rd,Smiths Grove,KY,42171-7245,270-975-4050
KentuckyCare - 153,TENNESSEE DEPARTMENT OF HEALTH,601 Highway 52 Byp E,Lafayette,TN,37083,615-666-2142
Edmonson County 5/6 Center,ARCARE,750 US Highway 60 W,Smithland,KY,42081-8983,870-347-2534
Austin Tracy Healthy Kids Clinic,"A+ FAMILY HEALTHCARE, LLC",191 W Center St,Brownsville,KY,42210-8500,270-975-4050
A Plus Family Healthcare-Brownsville,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",2477 Austin Tracy Rd,Lucas,KY,42156-9317,270-646-2236
KentuckyCare - 63,"A+ FAMILY HEALTHCARE, LLC",210 S. Main Street  STE 101,Brownsville,KY,42210-9001,270-975-4050
Edmonson County High School,ARCARE,110 Kings Dr.,Mayfield,KY,42066-3206,870-347-2534
Edmonson County Middle School,"A+ FAMILY HEALTHCARE, LLC",210 Wildcat Way,Brownsville,KY,42210-9032,270-975-4050
KentuckyCare - 150,"A+ FAMILY HEALTHCARE, LLC",220 Wildcat Way,Brownsville,KY,42210,270-975-4050
Mercy office at Marshall Co Oak Grove Elementary,ARCARE,1372 US Highway 60 E,Burna,KY,42028-9239,870-347-2534
Kyrock Elementary School,"MERCY HEALTH SERVICES, INC.",1645 Franklin Pike,Lewisburg,TN,37091-6916,931-270-1855
Smith County Health Department,"A+ FAMILY HEALTHCARE, LLC",5720 KY-259,Sweeden,KY,42285-7106,270-975-4050
Mercy office at Marshall Co Westhills Elementary,TENNESSEE DEPARTMENT OF HEALTH,251 Joy Alford Way,Carthage,TN,37030,615-735-0242
Mercy office at Marshall Co High School,"MERCY HEALTH SERVICES, INC.",1351 W Ellington Pkwy,Lewisburg,TN,37091-4502,931-359-3909
KentuckyCare - 44,"MERCY HEALTH SERVICES, INC.",597 W Ellington Pkwy,Lewisburg,TN,37091-4510,931-359-1549
Mercy office at Marshall Co Lewisburg Middle school,ARCARE,3360 Wayne Sullivan Dr,Paducah,KY,42003,270-443-9474
Mercy office at Marshall Elementary School,"MERCY HEALTH SERVICES, INC.",500 Tiger Blvd,Lewisburg,TN,37091-2036,931-359-1265
Lewisburg Family,"MERCY HEALTH SERVICES, INC.",401 Tiger Blvd,Lewisburg,TN,37091-2070,931-359-7149
Lewisburg Family Practice,MAURY REGIONAL HOSPITAL,1090 N Ellington Pkwy Ste 102,Lewisburg,TN,37091-2227,931-359-0019
Lewisburg Pediatrics,MAURY REGIONAL HOSPITAL,1090 N. Ellington Pkwy  STE 102 B,Lewisburg,TN,37091-2227,931-359-0019
Mercy Marshall County - 122 East Commerce Street,MAURY REGIONAL HOSPITAL,1090 N Ellington Pkwy Ste 201,Lewisburg,TN,37091-2227,931-270-3655
Park City Healthy Kids Clinic,"MERCY HEALTH SERVICES, INC.",122 E Commerce St,Lewisburg,TN,37091-3340,615-814-3400
KentuckyCare-43,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",45 Indian Mill Rd,Park City,KY,42160-7724,270-749-5665
KentuckyCare - 038,ARCARE,125 S 20th St,Paducah,KY,42001-7100,870-347-2534
Red Cross Healthy Kids Clinic,ARCARE,2200 Washington St,Paducah,KY,42003-3256,870-347-2534
Trojan Way Center Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",215 Parkview Dr,Glasgow,KY,42141-5005,270-659-2400
Barren County Middle Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",601 Trojan Trail  RM 101,Glasgow,KY,42141,270-629-3496
HARDIN COUNTY MEDICAL CLINIC,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",555 Trojan Trl,Glasgow,KY,42141-2214,270-651-4909
South Green Elementary Healthy Kids Clinic,COMMUNITY HEALTH & EMERGENCY SERVICES INC,"IL ROUTE 146, BUILDING 2",ELIZABETHTOWN,IL,62931,618-285-6191
Mercy office at Marshall Co Cornersville Elementary,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",300 James T Rogers Dr,Glasgow,KY,42141-2000,270-651-3806
Trojan Academy Healthy Kids Clinic,"MERCY HEALTH SERVICES, INC.",485 N Main St,Cornersville,TN,37047-4104,931-246-4230
Barren County High Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",505 Trojan Trl,Glasgow,KY,42141-2214,270-629-5505
Barren County Healthy Kids Clinic Annex,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",507 Trojan Trl,Glasgow,KY,42141-2214,270-651-6315
HARDIN COUNTY DENTAL CLINIC,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1309 Roseville Rd,Glasgow,KY,42141-7944,270-678-9475
Cannon County Health Department/Community Health Center,COMMUNITY HEALTH & EMERGENCY SERVICES INC,226 MAIN STREET,ROSICLARE,IL,62982-0069,618-285-3930
Glasgow Preschool Academy Healthy Kids Clinic,TENNESSEE DEPARTMENT OF HEALTH,106 Alexander Dr,Woodbury,TN,37190-5275,615-563-4243
College Street Campus Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",629 W Cherry St,Glasgow,KY,42141-1513,270-858-6655
Primary Care & Hope Clinic of Shelbyville,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",304 E College St,Glasgow,KY,42141-2518,270-629-6554
Gamaliel Family Medical Center,RUTHERFORD COUNTY PRIMARY CARE CLINIC INC,1701 N Main St,Shelbyville,TN,37160-2303,615-893-9390
Audubon Area Community Care Clinic - Newton Parrish Elementary School,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",102 RHODES ST,GAMALIEL,KY,42140-8942,270-457-3000
Temple Hill Healthy Kids Clinic,"AUDUBON AREA COMMUNITY CARE CLINIC, INC",510 W Byers Ave,Owensboro,KY,42303-6327,270-686-6040
Audubon Area Community Care Clinic - Owensboro Innovation Academy,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",8788 Tompkinsville Rd,Glasgow,KY,42141-8824,270-427-2611
North Jackson Healthy Kids Clinic,"AUDUBON AREA COMMUNITY CARE CLINIC, INC",2631 S Griffith Ave,Owensboro,KY,42301-5318,270-686-6040
Glasgow Pediatric Healthcare,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",2002 N Jackson Hwy,Glasgow,KY,42141-9095,270-629-5665
"Regional Health Care Affiliates, Inc. dba. Health First Community Health Center- Neel Clinic","CUMBERLAND FAMILY MEDICAL CENTER, INC.",301 Professional Park Dr,Glasgow,KY,42141-3487,270-651-9696
Glasgow Pediatric Healthcare Healthy Kids Clinic,"REGIONAL HEALTH CARE AFFILIATES, INC.",2816 VEACH RD STE 205,OWENSBORO,KY,42303-6299,270-926-9821
Audubon Area Community Care Clinic - Sutton Elementary School,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",303 Professional Park Dr,Glasgow,KY,42141-3487,270-858-6655
Audubon Area Community Care Clinic - Owensboro Middle School,"AUDUBON AREA COMMUNITY CARE CLINIC, INC",2060 Lewis Ln,Owensboro,KY,42301-4463,270-686-6040
Waynesboro Primary Care,"AUDUBON AREA COMMUNITY CARE CLINIC, INC",1300 Booth Ave,Owensboro,KY,42301-4540,270-686-6040
Glasgow High Healthy Kids Clinic,MAURY REGIONAL HOSPITAL,321 Dexter L Woods Memorial Blvd  STE E,Waynesboro,TN,38485-2418,931-722-5411
Highland Elementary Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1601 Columbia Ave,Glasgow,KY,42141-3333,270-651-8801
Glasgow Middle Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",164 Scottie Dr,Glasgow,KY,42141,270-659-0432
Audubon Area Community Care Clinic - Owensboro High School,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",105 Scottie Dr,Glasgow,KY,42141-3518,270-651-2256
Audubon Area Community Care Clinic,"AUDUBON AREA COMMUNITY CARE CLINIC, INC",1800 Frederica St,Owensboro,KY,42301-4815,270-686-6040
LIFESPAN CLIFTON,"AUDUBON AREA COMMUNITY CARE CLINIC, INC",1620 Frederica St,Owensboro,KY,42301-4807,270-686-6040
Audubon Area Community Care Clinic - Emerson Academy,HARDIN COUNTY REGIONAL HEALTH CENTER,207 Main St,Clifton,TN,38425-5547,931-676-3121
Audubon Area Community Care Clinic - Cravens Elementary School,"AUDUBON AREA COMMUNITY CARE CLINIC, INC",1335 W 11th St,Owensboro,KY,42301-2073,270-686-6040
Audubon Area Community Care Clinic - Estes Elementary School,"AUDUBON AREA COMMUNITY CARE CLINIC, INC",2741 Cravens Ave,Owensboro,KY,42301-1666,270-686-6040
"Regional Health Care Affiliates, Inc. dba Health First Community Health Center- Union County","AUDUBON AREA COMMUNITY CARE CLINIC, INC",1675 Leitchfield Rd,Owensboro,KY,42303-0935,270-686-6040
Audubon Area Community Care Clinic - Foust Elementary School,"REGIONAL HEALTH CARE AFFILIATES, INC.",220 N Morgan St,Morganfield,KY,42437-1412,270-285-1318
POPE COUNTY MEDICAL CLINIC,"AUDUBON AREA COMMUNITY CARE CLINIC, INC",601 Foust Ave,Owensboro,KY,42301-1961,270-686-6040
KentuckyCare - 058,COMMUNITY HEALTH & EMERGENCY SERVICES INC,217 S ADAMS STREET,GOLCONDA,IL,62938,618-683-3781
Audubon Area Community Care Clinic - Benttree,ARCARE,2006 Holiday Lane,Fulton,KY,42041,870-347-2534
Caverna Elementary Healthy Kids Clinic,"AUDUBON AREA COMMUNITY CARE CLINIC, INC",4215 Benttree Dr,Owensboro,KY,42301-8669,270-686-6040
Cub Run Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1106 N Dixie Hwy  RM 34,Cave City,KY,42127,270-733-3671
Eastern Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",170 E Gap Hill Rd,Cub Run,KY,42729-7670,270-524-2925
Metropolis Medical Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",4601 New Salem Rd,Glasgow,KY,42141-9422,270-678-2722
DEKALB COUNTY HEALTH DEPARTMENT,RURAL HEALTH INC,1003 E 5th St,Metropolis,IL,62960-2311,618-524-7499
Monroe Family Medical Center,TENNESSEE DEPARTMENT OF HEALTH,254 Tiger Dr,Smithville,TN,37166-6812,615-597-7599
"Regional Health Care Affiliates, Inc. dba. Health First Community Health Center- Cabell Platt","CUMBERLAND FAMILY MEDICAL CENTER, INC.",1515 Edmonton Rd,Tompkinsville,KY,42167-9402,270-487-9272
Hiseville Healthy Kids Clinic,"REGIONAL HEALTH CARE AFFILIATES, INC.",700 Martin Luther King Jr Ave,Henderson,KY,42420-3663,270-826-4800
Jackson County Health Department,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",149 Cardinal Blvd,Hiseville,KY,42152,270-453-2611
Kentuckycare - 39,TENNESSEE DEPARTMENT OF HEALTH,600 N Murray St,Gainesboro,TN,38562-9313,931-268-0218
Caverna Middle/High Healthy Kids Clinic,ARCARE,308 S. WASHINGTON ST.  STE 200,CLINTON,KY,42031-1347,870-347-2534
Munfordville Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",2276 S Dixie Hwy  RM 6012,Horse Cave,KY,42749,270-773-4665
Munfordville Medical Center,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",505 W Union St,Munfordville,KY,42765-8909,270-524-4651
Hart County High Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",600 Main St,Munfordville,KY,42765-9426,270-524-2889
Shawneetown Community Health Center,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1014 S Dixie Hwy,Munfordville,KY,42765-9234,270-524-9341
LeGrande Healthy Kids Clinic,Christopher Greater Area Rural Health Planning Corporation,9525 Gold Hill Road,Shawneetown,IL,62984,618-269-3815
KentuckyCare - 021,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",70 LeGrande School Rd,Horse Cave,KY,42749-7714,270-786-2746
MRMG Primary Care (Collinwood),ARCARE,75 E Court St,Bardwell,KY,42023-8483,870-347-2534
Bonnieville Healthy Kids Clinic,MAURY REGIONAL HOSPITAL,902 Highway 13 S,Collinwood,TN,38450-4614,931-722-9999
Metcalfe County Middle Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",7874 N Dixie Hwy,Bonnieville,KY,42713-8308,270-531-1111
Metcalfe County High Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",208 Randolph St.  LOT 1,Edmonton,KY,42129,270-432-2481
Promise Community Health Center - Edmonton,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",208 Randolph St.  LOT 2,Edmonton,KY,42129,270-432-2481
"Gibson County Community Health Center, TDH","CUMBERLAND FAMILY MEDICAL CENTER, INC.",109 Sartin Dr,Edmonton,KY,42129,270-432-2444
Metcalfe County Elementary Healthy Kids Clinic,TENNESSEE DEPARTMENT OF HEALTH,1250 S Manufacturers Row,Trenton,TN,38382-3632,731-855-7601
Metcalfe Family Medical Center,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",703 W. Stockton St.,Edmonton,KY,42129,270-432-2051
Memorial Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",612 W Stockton St,Edmonton,KY,42129-9458,270-858-6655
CLAY COUNTY HEALTH DEPARTMENT,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1400 N Jackson Hwy,Hardyville,KY,42746-8733,270-528-2271
ECHO Pediatric and Prenatal Clinic,TENNESSEE DEPARTMENT OF HEALTH,115 Guffey St,Celina,TN,38551-4089,931-243-2651
